feature,mean_abs_shap
NO2_ground_lag_1h,0.27101819577626274
NOx_ground,0.23972151207244685
NO2_ground_roll_mean_24h,0.10880034113217314
NO_ground,0.08724973294832852
hour_cos,0.056479337182454965
NO2_ground_lag_24h,0.05161230443401837
NO2_ground_roll_mean_6h,0.0278170994142774
station_enc,0.0156471797581895
hour_sin,0.015447860607508105
SO2_ground,0.011066798224789775
